idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s,tokens_received,gen_chars,saw_done,finish_reason
104,11.808,11.808438854999622,1.571196910999788,ok,0.06952788499984308,0.019008120582275065,0.026147189000766957,80,347,True,length
105,11.827,11.8291235279994,1.5690385200014134,ok,0.06495467500099039,0.019038739518979542,0.026149831001021084,80,410,True,length
106,12.017,12.017500173998997,1.5871025270007522,ok,0.06561316500119574,0.019259063860761073,0.02690693300064595,80,595,True,length
107,12.034,12.036210793999999,1.5898450240001694,ok,0.06121256000005815,0.019349498126596504,0.026950129000397283,80,252,True,length
108,12.135,12.135332837999158,1.5869138140005816,ok,0.05365993600025831,0.01940793151898336,0.026946633999614278,80,339,True,length
109,12.169,12.170014504999926,1.6001877329999843,ok,0.06487680799909867,0.01943394220253612,0.02690735299984226,80,367,True,length
110,12.185,12.18604697199953,1.600597917999039,ok,0.06277530399893294,0.019465708556973493,0.026952618998620892,80,401,True,length
111,12.236,12.237110355999903,1.5910050279999268,ok,0.049241783999605104,0.019515657582285458,0.02691247199982172,80,480,True,length
112,12.27,12.270160916999885,1.592631606001305,ok,0.05645659000037995,0.019444909164547747,0.026900995000687544,80,458,True,length
113,12.337,12.338135787998908,1.6124134519996005,ok,0.06369911399997363,0.019603628189876952,0.026902002000497305,80,465,True,length
114,12.438,12.438660923999123,1.5981738979990041,ok,0.05699838299915427,0.019508205746839122,0.026954081000440056,80,434,True,length
115,12.472,12.47376129300028,1.5985620629999175,ok,0.06611651499952131,0.019397713405068535,0.026950368999678176,80,346,True,length
116,12.488,12.488289812999938,1.6019898270005797,ok,0.06762988999980735,0.01942196198735151,0.026903375999609125,80,593,True,length
117,12.555,12.556293841000297,1.594099219999407,ok,0.05821132600067358,0.01944104711392241,0.02670644399950106,80,432,True,length
118,12.69,12.690798244999314,1.5887185869996756,ok,0.0547448710003664,0.019417080999994164,0.027229430999796023,80,453,True,length
119,12.74,12.741089748999002,1.6024041830005444,ok,0.06906694200006314,0.019408998493659804,0.027202476001548348,80,367,True,length
120,12.774,12.775005534998854,1.5836136839989194,ok,0.04992650999884063,0.0194134252151919,0.027263522999419365,80,475,True,length
121,12.808,12.808814520998567,1.5923634190003213,ok,0.06407972600027279,0.019345058594935145,0.02720230500017351,80,587,True,length
122,12.825,12.826200105999305,1.5974449110017304,ok,0.06986068000151135,0.01933632556961417,0.027547339999728138,80,412,True,length
