timestamp_s,prompt_length,max_new_tokens,second,index_in_second
31.043000,114,80,75,1
31.058000,72,80,75,2
31.072000,83,80,75,3
31.101000,119,80,75,4
31.115000,86,80,75,5
31.144000,92,80,75,6
31.159000,116,80,75,7
31.245000,101,80,75,8
31.303000,93,80,75,9
31.318000,102,80,75,10
31.347000,116,80,75,11
31.390000,49,80,75,12
31.448000,128,80,75,13
31.519000,136,80,75,14
31.548000,134,80,75,15
31.562000,40,80,75,16
31.576000,62,80,75,17
31.605000,107,80,75,18
31.620000,86,80,75,19
31.649000,27,80,75,20
31.678000,88,80,75,21
31.692000,50,80,75,22
31.721000,46,80,75,23
31.750000,41,80,75,24
31.793000,81,80,75,25
31.808000,131,80,75,26
31.822000,93,80,75,27
31.851000,134,80,75,28
32.029000,77,80,76,0
32.043000,84,80,76,1
32.058000,68,80,76,2
32.101000,71,80,76,3
32.130000,9,80,76,4
32.318000,29,80,76,5
32.332000,105,80,76,6
32.390000,129,80,76,7
32.419000,60,80,76,8
32.562000,144,80,76,9
32.576000,96,80,76,10
32.605000,102,80,76,11
32.678000,59,80,76,12
32.706000,94,80,76,13
32.764000,41,80,76,14
32.822000,80,80,76,15
32.836000,111,80,76,16
32.851000,50,80,76,17
32.865000,81,80,76,18
32.894000,106,80,76,19
32.909000,104,80,76,20
32.923000,90,80,76,21
33.031000,126,80,77,0
33.077000,113,80,77,1
33.140000,75,80,77,2
33.171000,79,80,77,3
33.187000,76,80,77,4
33.233000,91,80,77,5
33.264000,52,80,77,6
33.280000,16,80,77,7
33.342000,31,80,77,8
33.435000,52,80,77,9
33.451000,106,80,77,10
33.482000,24,80,77,11
33.497000,100,80,77,12
33.606000,119,80,77,13
33.761000,27,80,77,14
33.777000,82,80,77,15
33.839000,113,80,77,16
33.854000,59,80,77,17
33.886000,73,80,77,18
34.015000,91,80,78,0
34.046000,76,80,78,1
34.062000,57,80,78,2
34.156000,84,80,78,3
34.218000,104,80,78,4
34.264000,104,80,78,5
34.295000,27,80,78,6
34.326000,60,80,78,7
34.342000,48,80,78,8
34.357000,124,80,78,9
34.420000,96,80,78,10
34.451000,61,80,78,11
34.497000,124,80,78,12
34.513000,93,80,78,13
34.559000,97,80,78,14
34.575000,48,80,78,15
34.637000,124,80,78,16
34.653000,75,80,78,17
34.792000,80,80,78,18
34.886000,66,80,78,19
35.051000,58,80,79,0
35.101000,71,80,79,1
35.152000,64,80,79,2
35.185000,86,80,79,3
35.219000,26,80,79,4
35.253000,89,80,79,5
35.320000,135,80,79,6
35.337000,137,80,79,7
35.438000,91,80,79,8
35.455000,90,80,79,9
35.488000,105,80,79,10
35.522000,102,80,79,11
35.555000,15,80,79,12
35.589000,120,80,79,13
35.623000,48,80,79,14
35.639000,83,80,79,15
35.707000,84,80,79,16
35.842000,60,80,79,17
35.858000,103,80,79,18
35.875000,69,80,79,19
35.892000,60,80,79,20
35.909000,99,80,79,21
36.101000,151,80,80,0
36.135000,96,80,80,1
36.185000,104,80,80,2
36.202000,99,80,80,3
36.219000,65,80,80,4
36.320000,91,80,80,5
36.337000,75,80,80,6
36.371000,102,80,80,7
36.388000,79,80,80,8
36.404000,63,80,80,9
36.472000,53,80,80,10
36.505000,104,80,80,11
36.522000,132,80,80,12
36.538000,25,80,80,13
36.572000,66,80,80,14
36.589000,57,80,80,15
36.606000,52,80,80,16
36.639000,150,80,80,17
36.656000,96,80,80,18
36.673000,44,80,80,19
36.690000,11,80,80,20
36.757000,47,80,80,21
36.808000,71,80,80,22
36.825000,130,80,80,23
37.018000,151,80,81,0
37.055000,99,80,81,1
37.073000,103,80,81,2
37.129000,35,80,81,3
37.147000,63,80,81,4
37.184000,46,80,81,5
37.220000,46,80,81,6
37.276000,117,80,81,7
37.349000,74,80,81,8
37.386000,1,80,81,9
37.459000,1,80,81,10
37.478000,74,80,81,11
37.551000,92,80,81,12
37.661000,115,80,81,13
37.845000,106,80,81,14
38.000000,108,80,82,0
38.073000,74,80,82,1
38.110000,140,80,82,2
38.129000,25,80,82,3
38.184000,98,80,82,4
38.257000,119,80,82,5
38.276000,49,80,82,6
38.404000,114,80,82,7
38.459000,57,80,82,8
38.551000,75,80,82,9
38.569000,56,80,82,10
38.606000,117,80,82,11
38.753000,101,80,82,12
38.771000,44,80,82,13
38.845000,54,80,82,14
38.863000,108,80,82,15
38.900000,90,80,82,16
39.020000,89,80,83,0
39.040000,143,80,83,1
39.061000,86,80,83,2
39.121000,77,80,83,3
39.202000,65,80,83,4
39.283000,86,80,83,5
39.383000,77,80,83,6
39.464000,107,80,83,7
39.606000,35,80,83,8
39.627000,97,80,83,9
39.687000,83,80,83,10
39.748000,28,80,83,11
39.788000,60,80,83,12
40.061000,73,80,84,0
40.202000,74,80,84,1
40.222000,18,80,84,2
40.242000,56,80,84,3
40.262000,158,80,84,4
40.383000,87,80,84,5
40.424000,77,80,84,6
40.444000,109,80,84,7
40.464000,98,80,84,8
40.485000,103,80,84,9
40.505000,89,80,84,10
40.525000,56,80,84,11
40.627000,71,80,84,12
40.667000,142,80,84,13
40.728000,125,80,84,14
40.869000,91,80,84,15
41.061000,100,80,85,0
41.121000,100,80,85,1
41.202000,149,80,85,2
41.222000,63,80,85,3
41.262000,20,80,85,4
41.323000,107,80,85,5
41.424000,53,80,85,6
41.505000,105,80,85,7
41.647000,85,80,85,8
41.667000,30,80,85,9
41.707000,59,80,85,10
41.788000,64,80,85,11
42.022000,83,80,86,0
42.112000,74,80,86,1
42.224000,79,80,86,2
42.337000,84,80,86,3
42.381000,64,80,86,4
42.426000,105,80,86,5
42.538000,71,80,86,6
42.628000,94,80,86,7
42.763000,104,80,86,8
43.157000,96,80,87,0
43.179000,91,80,87,1
43.202000,89,80,87,2
43.224000,81,80,87,3
43.337000,106,80,87,4
43.359000,76,80,87,5
43.381000,45,80,87,6
43.404000,67,80,87,7
43.471000,72,80,87,8
43.538000,119,80,87,9
43.561000,155,80,87,10
43.606000,97,80,87,11
43.651000,61,80,87,12
43.696000,47,80,87,13
43.740000,67,80,87,14
43.785000,107,80,87,15
43.808000,71,80,87,16
43.853000,50,80,87,17
44.050000,78,80,88,0
44.101000,84,80,88,1
44.177000,17,80,88,2
44.202000,95,80,88,3
44.278000,115,80,88,4
44.429000,127,80,88,5
44.454000,86,80,88,6
44.832000,107,80,88,7
45.050000,90,80,89,0
45.151000,81,80,89,1
45.252000,82,80,89,2
45.303000,85,80,89,3
45.454000,47,80,89,4
45.504000,170,80,89,5
45.605000,103,80,89,6
45.781000,58,80,89,7
45.807000,48,80,89,8
46.252000,70,80,90,0
46.454000,76,80,90,1
46.554000,45,80,90,2
46.655000,65,80,90,3
46.756000,61,80,90,4
47.000000,63,80,91,0
47.101000,59,80,91,1
47.202000,101,80,91,2
47.404000,40,80,91,3
47.429000,89,80,91,4
47.454000,98,80,91,5
47.529000,58,80,91,6
47.655000,77,80,91,7
47.781000,122,80,91,8
47.832000,45,80,91,9
48.000000,86,80,92,0
48.076000,81,80,92,1
48.126000,78,80,92,2
48.151000,45,80,92,3
48.252000,39,80,92,4
48.328000,140,80,92,5
48.379000,73,80,92,6
48.404000,118,80,92,7
48.429000,84,80,92,8
48.554000,106,80,92,9
48.706000,51,80,92,10
48.781000,137,80,92,11
49.000000,64,80,93,0
49.025000,78,80,93,1
49.050000,59,80,93,2
49.177000,33,80,93,3
49.303000,94,80,93,4
49.404000,33,80,93,5
49.554000,63,80,93,6
49.579000,55,80,93,7
49.630000,101,80,93,8
49.655000,84,80,93,9
49.756000,72,80,93,10
49.832000,79,80,93,11
50.025000,69,80,94,0
50.050000,64,80,94,1
50.151000,59,80,94,2
50.177000,73,80,94,3
50.278000,75,80,94,4
50.303000,48,80,94,5
50.353000,65,80,94,6
50.379000,128,80,94,7
50.429000,58,80,94,8
50.479000,128,80,94,9
50.504000,52,80,94,10
50.605000,138,80,94,11
50.630000,94,80,94,12
50.731000,78,80,94,13
51.025000,131,80,95,0
51.050000,59,80,95,1
51.151000,91,80,95,2
51.278000,132,80,95,3
51.303000,66,80,95,4
51.379000,71,80,95,5
51.479000,20,80,95,6
51.605000,124,80,95,7
51.731000,69,80,95,8
51.807000,103,80,95,9
51.857000,94,80,95,10
52.050000,136,80,96,0
52.076000,81,80,96,1
52.202000,79,80,96,2
52.252000,85,80,96,3
52.429000,87,80,96,4
52.454000,79,80,96,5
52.479000,83,80,96,6
52.655000,67,80,96,7
52.680000,81,80,96,8
52.706000,58,80,96,9
52.807000,88,80,96,10
52.857000,80,80,96,11
53.025000,76,80,97,0
53.126000,115,80,97,1
53.252000,111,80,97,2
53.303000,115,80,97,3
53.379000,69,80,97,4
53.429000,16,80,97,5
53.605000,99,80,97,6
53.706000,85,80,97,7
53.756000,88,80,97,8
53.781000,82,80,97,9
53.807000,37,80,97,10
53.857000,102,80,97,11
54.101000,36,80,98,0
54.126000,71,80,98,1
54.151000,15,80,98,2
54.177000,44,80,98,3
54.278000,81,80,98,4
54.353000,83,80,98,5
54.605000,85,80,98,6
54.630000,125,80,98,7
54.655000,92,80,98,8
54.680000,87,80,98,9
54.756000,87,80,98,10
54.832000,67,80,98,11
54.857000,40,80,98,12
55.050000,38,80,99,0
55.177000,60,80,99,1
55.202000,55,80,99,2
